loss,IoU,MA_IoU,accuracy,MA_accuracy,precision,MA_precision,recall,MA_recall,F1_score,MA_F1_score
0.5621635913848877,"[0.6315819025039673, 0.6373763084411621, 0.5994972586631775, 0.13816431164741516, 0.7340026497840881, 0.6062907576560974]",0.5578188896179199,"[0.9242555499076843, 0.8929893374443054, 0.9608315229415894, 0.996574342250824, 0.9725309014320374, 0.7937822937965393]",0.9234940409660339,"[0.7159131765365601, 0.7960827350616455, 0.762296736240387, 0.3862007260322571, 0.8467611074447632, 0.7661310434341431]",0.712230920791626,"[0.8428089618682861, 0.7617416977882385, 0.7373330593109131, 0.17704027891159058, 0.846437394618988, 0.7439845204353333]",0.6848909854888916,"[0.7741957902908325, 0.7785337567329407, 0.7496070861816406, 0.24278447031974792, 0.8465992212295532, 0.7548953294754028]",0.6982934474945068
0.5382047891616821,"[0.6412014961242676, 0.6563929319381714, 0.6133232116699219, 0.15870027244091034, 0.7476189732551575, 0.6186176538467407]",0.57264244556427,"[0.9266866445541382, 0.899214506149292, 0.9624924659729004, 0.9966958165168762, 0.9739812612533569, 0.8026436567306519]",0.9269523620605469,"[0.7227330803871155, 0.8058202862739563, 0.7728682160377502, 0.430235892534256, 0.8505534529685974, 0.7793470025062561]",0.726926326751709,"[0.8503867983818054, 0.7797232866287231, 0.7481780648231506, 0.20092909038066864, 0.86067795753479, 0.7499727010726929]",0.6983113288879395,"[0.7813805937767029, 0.7925569415092468, 0.7603226900100708, 0.27392807602882385, 0.8555857539176941, 0.7643777132034302]",0.7123315334320068
0.5214626789093018,"[0.6485973596572876, 0.666787326335907, 0.6209964752197266, 0.18632487952709198, 0.7617652416229248, 0.627564549446106]",0.5853393077850342,"[0.9287919998168945, 0.9028118848800659, 0.9634029865264893, 0.9967633485794067, 0.9755533337593079, 0.8082981705665588]",0.9292702674865723,"[0.7301605939865112, 0.8129489421844482, 0.7786623239517212, 0.4583744704723358, 0.8567953705787659, 0.786124050617218]",0.7371776103973389,"[0.853077232837677, 0.7876253724098206, 0.7541128993034363, 0.23892879486083984, 0.8729044795036316, 0.756774365901947]",0.7105705142021179,"[0.7868474721908569, 0.8000868558883667, 0.7661910653114319, 0.31412115693092346, 0.8647749423980713, 0.7711700797080994]",0.7236294746398926
0.5060160756111145,"[0.6534404158592224, 0.6779820322990417, 0.6275146007537842, 0.21442513167858124, 0.7760041952133179, 0.6360800266265869]",0.5975744128227234,"[0.9300020933151245, 0.9068173170089722, 0.9641711711883545, 0.9968442916870117, 0.9772348403930664, 0.813477098941803]",0.9314244985580444,"[0.7336638569831848, 0.8221176266670227, 0.7835639715194702, 0.4848789572715759, 0.8671634197235107, 0.7918541431427002]",0.7472070455551147,"[0.856648862361908, 0.7945372462272644, 0.7590891718864441, 0.2776804268360138, 0.8806943893432617, 0.7637841105461121]",0.7220724821090698,"[0.7904008626937866, 0.8080921769142151, 0.7711324691772461, 0.3531302511692047, 0.8738765120506287, 0.7775658369064331]",0.7344248294830322
0.4984908103942871,"[0.6561250686645508, 0.6855366826057434, 0.6330810189247131, 0.2181743085384369, 0.7776889204978943, 0.6413831114768982]",0.6019982099533081,"[0.9306157827377319, 0.9092432856559753, 0.9648531675338745, 0.9968007802963257, 0.9774231314659119, 0.8170342445373535]",0.9326617121696472,"[0.7351107001304626, 0.8259708881378174, 0.7884289622306824, 0.47418615221977234, 0.8680577278137207, 0.796983540058136]",0.748123049736023,"[0.859283447265625, 0.801272451877594, 0.7626417279243469, 0.28780171275138855, 0.8819399476051331, 0.7666361927986145]",0.7265958786010742,"[0.7923616766929626, 0.8134343028068542, 0.7753210067749023, 0.3581988513469696, 0.8749438524246216, 0.78151535987854]",0.7372022867202759
0.4888867139816284,"[0.6616429686546326, 0.6928181648254395, 0.6367789506912231, 0.22591611742973328, 0.7821255922317505, 0.645331859588623]",0.6074356436729431,"[0.9321481585502625, 0.9117448925971985, 0.9652144312858582, 0.996756374835968, 0.9778889417648315, 0.8194296360015869]",0.9338637590408325,"[0.7406274080276489, 0.8313365578651428, 0.7895639538764954, 0.4652101993560791, 0.8692945241928101, 0.7997195720672607]",0.7492920756340027,"[0.8611909747123718, 0.8061278462409973, 0.7669406533241272, 0.30517059564590454, 0.8863605856895447, 0.7697328329086304]",0.7325872778892517,"[0.7963719964027405, 0.8185381889343262, 0.778087854385376, 0.36856701970100403, 0.8777446150779724, 0.784439742565155]",0.7408455014228821
0.4816875457763672,"[0.6632610559463501, 0.6981232166290283, 0.6414775252342224, 0.23734059929847717, 0.789905309677124, 0.6493961215019226]",0.6132506728172302,"[0.9325146675109863, 0.9134624600410461, 0.9656037092208862, 0.9968833923339844, 0.9788249731063843, 0.8220967054367065]",0.9348976612091064,"[0.7414921522140503, 0.8343127369880676, 0.78935706615448, 0.4962669909000397, 0.8763109445571899, 0.8035141825675964]",0.7568756937980652,"[0.8627606630325317, 0.810490608215332, 0.7739654779434204, 0.3126651346683502, 0.8890256285667419, 0.7719866633415222]",0.7368156909942627,"[0.7975429892539978, 0.8222292065620422, 0.7815854549407959, 0.3836301863193512, 0.882622480392456, 0.787434995174408]",0.7467109560966492
0.4765860140323639,"[0.6648830771446228, 0.703181266784668, 0.6427032351493835, 0.267293244600296, 0.7928082942962646, 0.6528244614601135]",0.6206156015396118,"[0.9330069422721863, 0.9151623249053955, 0.9658320546150208, 0.996997058391571, 0.9791234135627747, 0.824096143245697]",0.9357029795646667,"[0.7435529232025146, 0.8378338813781738, 0.7922884225845337, 0.5236870646476746, 0.8769494891166687, 0.8055778741836548]",0.7633149027824402,"[0.8627161979675293, 0.8139647245407104, 0.7729399800300598, 0.3531482517719269, 0.8920428156852722, 0.7749171853065491]",0.7449549436569214,"[0.7987143993377686, 0.8257268071174622, 0.7824946045875549, 0.4218333065509796, 0.884431779384613, 0.7899500727653503]",0.7540232539176941
0.4686790406703949,"[0.6691311001777649, 0.7053056955337524, 0.648763120174408, 0.27828624844551086, 0.7983003258705139, 0.6561359763145447]",0.6259871125221252,"[0.9340981841087341, 0.9158585667610168, 0.9664831161499023, 0.9970471262931824, 0.9797343611717224, 0.8261306881904602]",0.936558723449707,"[0.7471190094947815, 0.8391556739807129, 0.79555743932724, 0.5350393056869507, 0.8801347613334656, 0.8080853223800659]",0.7675151824951172,"[0.8650514483451843, 0.8155602812767029, 0.7785648703575134, 0.36705321073532104, 0.8956787586212158, 0.7772536277770996]",0.749860405921936,"[0.8017717599868774, 0.8271896839141846, 0.7869694232940674, 0.4354052245616913, 0.8878387212753296, 0.7923696637153625]",0.7585850358009338
0.46425268054008484,"[0.6717510223388672, 0.7081805467605591, 0.6512182950973511, 0.2813194990158081, 0.7988835573196411, 0.6590126752853394]",0.6283942461013794,"[0.9347925782203674, 0.9167977571487427, 0.9667646884918213, 0.9970048069953918, 0.9797878861427307, 0.8278831839561462]",0.9371718168258667,"[0.7495642304420471, 0.8409305810928345, 0.7973277568817139, 0.5238643288612366, 0.8799965977668762, 0.8102160096168518]",0.7669832110404968,"[0.8661470413208008, 0.8177212476730347, 0.7804000973701477, 0.37795954942703247, 0.8965563774108887, 0.779312252998352]",0.7530161142349243,"[0.8036496639251709, 0.8291635513305664, 0.7887731194496155, 0.43910905718803406, 0.8881993293762207, 0.7944636940956116]",0.7599354982376099
