loss,IoU,MA_IoU,accuracy,MA_accuracy,precision,MA_precision,recall,MA_recall,F1_score,MA_F1_score
0.734834611415863,"[0.5693491101264954, 0.6247959733009338, 0.5233476758003235, 0.11756668984889984, 0.5693602561950684, 0.45237886905670166]",0.4761331081390381,"[0.9229903817176819, 0.8295725584030151, 0.952052116394043, 0.9918510317802429, 0.9531310200691223, 0.7560549974441528]",0.9009420275688171,"[0.8537872433662415, 0.717720091342926, 0.6140380501747131, 0.40522804856300354, 0.7131568789482117, 0.649995744228363]",0.6589877009391785,"[0.6308593153953552, 0.8283483386039734, 0.7799022197723389, 0.1420845240354538, 0.7384754419326782, 0.5980629324913025]",0.6196221113204956,"[0.7255858778953552, 0.7690757513046265, 0.6871016621589661, 0.21039724349975586, 0.7255948781967163, 0.622948408126831]",0.6386984586715698
0.7238292098045349,"[0.5680564045906067, 0.6280517578125, 0.5323768854141235, 0.15447886288166046, 0.5739348530769348, 0.4552193284034729]",0.4853529930114746,"[0.9227592349052429, 0.831675112247467, 0.9533024430274963, 0.9919936656951904, 0.9536727070808411, 0.7575141787528992]",0.9018195867538452,"[0.8535051941871643, 0.7210781574249268, 0.62163245677948, 0.4445097744464874, 0.7154402732849121, 0.6519822478294373]",0.6680247187614441,"[0.6294257640838623, 0.8295910954475403, 0.7875871062278748, 0.19143487513065338, 0.7437059879302979, 0.6013376116752625]",0.6305137872695923,"[0.7245351672172546, 0.7715374231338501, 0.6948376297950745, 0.2676161825656891, 0.7292988300323486, 0.6256362199783325]",0.6487269997596741
0.7164732217788696,"[0.5710837244987488, 0.629621684551239, 0.5385425686836243, 0.18356361985206604, 0.5869202017784119, 0.45755651593208313]",0.4945480525493622,"[0.9232169389724731, 0.8327062129974365, 0.9541891813278198, 0.9921320080757141, 0.9553293585777283, 0.7592413425445557]",0.9028024673461914,"[0.8529139161109924, 0.7227817177772522, 0.627245306968689, 0.4698750376701355, 0.7237256169319153, 0.6551635265350342]",0.6752841472625732,"[0.6334704756736755, 0.8300740718841553, 0.7920222878456116, 0.2315095067024231, 0.7563896775245667, 0.6027052402496338]",0.6410285830497742,"[0.7269929051399231, 0.7727208137512207, 0.7000679969787598, 0.31018757820129395, 0.739696741104126, 0.6278400421142578]",0.6577101349830627
0.7053704261779785,"[0.575746476650238, 0.6344170570373535, 0.5414495468139648, 0.1761532425880432, 0.5939916372299194, 0.46224144101142883]",0.49733322858810425,"[0.9241129755973816, 0.835521399974823, 0.9546282887458801, 0.9920324683189392, 0.9560347199440002, 0.762313961982727]",0.9041072726249695,"[0.8548524975776672, 0.726783812046051, 0.6301506161689758, 0.4562816321849823, 0.7251834869384766, 0.660440981388092]",0.6756154894828796,"[0.6381282210350037, 0.8331075310707092, 0.7936685681343079, 0.222953200340271, 0.7665395736694336, 0.6063429117202759]",0.6434566974639893,"[0.730759859085083, 0.7763216495513916, 0.7025195360183716, 0.2995408773422241, 0.7452877759933472, 0.6322363018989563]",0.6591435670852661
0.6957595348358154,"[0.5736693739891052, 0.6470137238502502, 0.5435786247253418, 0.2103198766708374, 0.5982275009155273, 0.47036266326904297]",0.5071953535079956,"[0.9238350987434387, 0.8436744213104248, 0.9548502564430237, 0.9922513365745544, 0.9569172859191895, 0.7646015286445618]",0.9060215950012207,"[0.8558216094970703, 0.7407999038696289, 0.631190836429596, 0.4873078167438507, 0.7333903908729553, 0.660403847694397]",0.6848191022872925,"[0.6350429654121399, 0.8363510966300964, 0.7965884804725647, 0.27008256316185, 0.7644824385643005, 0.6204266548156738]",0.653829038143158,"[0.7290845513343811, 0.7856805324554443, 0.7043091058731079, 0.3475438058376312, 0.7486132383346558, 0.6397908926010132]",0.6689649224281311
0.6867367029190063,"[0.5766540169715881, 0.6503491401672363, 0.5501102805137634, 0.19843244552612305, 0.604393720626831, 0.47599416971206665]",0.5093222856521606,"[0.9243876934051514, 0.8455828428268433, 0.9560747742652893, 0.9918339252471924, 0.9576039910316467, 0.7677966356277466]",0.9072133302688599,"[0.8567525148391724, 0.7436191439628601, 0.640602171421051, 0.4425443410873413, 0.735812246799469, 0.6651612520217896]",0.6807486414909363,"[0.6381849050521851, 0.8383204936981201, 0.7956803441047668, 0.26456159353256226, 0.7718977928161621, 0.6259893774986267]",0.6557724475860596,"[0.7314903736114502, 0.7881346940994263, 0.7097687125205994, 0.3311528265476227, 0.7534226775169373, 0.6449806690216064]",0.6680266857147217
0.6807167530059814,"[0.5787041783332825, 0.6543512344360352, 0.5480614304542542, 0.21827112138271332, 0.6070370078086853, 0.47844240069389343]",0.5141445994377136,"[0.9246858954429626, 0.8478430509567261, 0.9557100534439087, 0.9920557141304016, 0.9578179121017456, 0.7696636915206909]",0.9079627394676208,"[0.8561562895774841, 0.746922492980957, 0.6378277540206909, 0.4680193364620209, 0.7355085611343384, 0.6687077283859253]",0.6855236887931824,"[0.6410307884216309, 0.8407570719718933, 0.7956768870353699, 0.2902930974960327, 0.7765526175498962, 0.6270795464515686]",0.6618983745574951,"[0.7331377267837524, 0.7910663485527039, 0.7080612182617188, 0.35832881927490234, 0.7554730772972107, 0.647224485874176]",0.6735033988952637
0.6744002103805542,"[0.5833147764205933, 0.6560208201408386, 0.5531471371650696, 0.2256501317024231, 0.6093956232070923, 0.480956494808197]",0.5180808305740356,"[0.9255527853965759, 0.8487069606781006, 0.9561436772346497, 0.992100179195404, 0.9583032131195068, 0.7714858055114746]",0.9087154269218445,"[0.8577824831008911, 0.7479689717292786, 0.6392050981521606, 0.47340020537376404, 0.7401553392410278, 0.6720924377441406]",0.6884341239929199,"[0.6457681059837341, 0.8421846032142639, 0.8042502403259277, 0.30127179622650146, 0.7752524614334106, 0.6284171938896179]",0.6661907434463501,"[0.7368268370628357, 0.7922852039337158, 0.7122915983200073, 0.36821243166923523, 0.7572969794273376, 0.6495209336280823]",0.677129328250885
0.6726663708686829,"[0.5812358260154724, 0.6561158299446106, 0.5541857481002808, 0.22966846823692322, 0.6140894889831543, 0.4800777733325958]",0.5192289352416992,"[0.9251646399497986, 0.8487737774848938, 0.956477701663971, 0.99221271276474, 0.9588438272476196, 0.7706710696220398]",0.9086906313896179,"[0.8570895195007324, 0.7481065988540649, 0.6423567533493042, 0.48473942279815674, 0.7423044443130493, 0.6703499555587769]",0.6908244490623474,"[0.6436112523078918, 0.8421667814254761, 0.8014864921569824, 0.30384624004364014, 0.7804750204086304, 0.6284416317939758]",0.6666712760925293,"[0.735166072845459, 0.7923545241355896, 0.7131520509719849, 0.3735448718070984, 0.7609108090400696, 0.6487191915512085]",0.6785324811935425
0.6632781028747559,"[0.5833730697631836, 0.6596124172210693, 0.5599884390830994, 0.2389715611934662, 0.6198681592941284, 0.48449423909187317]",0.524384617805481,"[0.9256707429885864, 0.8508360385894775, 0.9572516083717346, 0.9922042489051819, 0.9594959020614624, 0.7731029987335205]",0.9097602367401123,"[0.8594455122947693, 0.7514442801475525, 0.6472474932670593, 0.4846879541873932, 0.7447156310081482, 0.6738938689231873]",0.693572461605072,"[0.6448999643325806, 0.8436888456344604, 0.8059660792350769, 0.3203674852848053, 0.7871215343475342, 0.6328734755516052]",0.6724862456321716,"[0.7368733286857605, 0.7948989272117615, 0.7179387807846069, 0.3857574462890625, 0.7653310894966125, 0.652739405632019]",0.6828661561012268
